+--------+-----------+----------+------------------+--------------+-------------------------------+----------------+-------------------------------+--------------+
|   Best |     Epoch |   Trades |    Win Draw Loss |   Avg profit |                        Profit |   Avg duration |                  Max Drawdown |    Objective |
|--------+-----------+----------+------------------+--------------+-------------------------------+----------------+-------------------------------+--------------|
| *      |    1/2000 |      544 |    342    0  202 |       -0.16% |     -1725.963 USDT  (-43.15%) |        5:35:00 |      2502.207 USDT  (124.99%) |  1,725.96291 |
| * Best |    2/2000 |      136 |     97    0   39 |        1.35% |      3665.336 USDT   (91.63%) |        3:56:00 |       529.946 USDT   (26.47%) | -3,665.33622 |
| * Best |    3/2000 |      226 |    137    0   89 |        0.86% |      3893.660 USDT   (97.34%) |        3:24:00 |       315.458 USDT   (15.76%) | -3,893.66001 |
| *      |    4/2000 |      473 |    296    0  177 |       -0.21% |     -2021.739 USDT  (-50.54%) |        5:28:00 |      2471.330 USDT  (123.44%) |  2,021.73872 |
| *      |    5/2000 |      262 |    146    0  116 |        0.64% |      3357.551 USDT   (83.94%) |        4:26:00 |       722.721 USDT   (36.10%) | -3,357.55087 |
| *      |    6/2000 |       78 |     63    0   15 |        2.38% |      3715.507 USDT   (92.89%) |        5:05:00 |       699.352 USDT   (34.93%) | -3,715.50661 |
| *      |    7/2000 |      485 |    280    0  205 |       -0.21% |     -2078.120 USDT  (-51.95%) |        5:37:00 |      2520.981 USDT  (125.92%) |  2,078.12040 |
| *      |    8/2000 |      258 |    156    0  102 |        0.75% |      3850.671 USDT   (96.27%) |        3:39:00 |      1261.964 USDT   (63.04%) | -3,850.67080 |
| *      |    9/2000 |      250 |    142    0  108 |        0.62% |      3081.444 USDT   (77.04%) |        3:18:00 |       692.141 USDT   (34.57%) | -3,081.44385 |
| *      |   10/2000 |       95 |     69    0   26 |        1.44% |      2741.553 USDT   (68.54%) |        4:46:00 |       909.783 USDT   (45.44%) | -2,741.55310 |
| * Best |   11/2000 |      436 |    242    0  194 |        0.61% |      5328.257 USDT  (133.21%) |        4:41:00 |       913.229 USDT   (45.62%) | -5,328.25694 |
| *      |   12/2000 |      297 |    165    0  132 |        0.55% |      3280.446 USDT   (82.01%) |        3:04:00 |       388.445 USDT   (19.40%) | -3,280.44649 |
| *      |   13/2000 |      170 |    114    0   56 |        1.37% |      4670.439 USDT  (116.76%) |        3:39:00 |       652.620 USDT   (32.60%) | -4,670.43875 |
| * Best |   14/2000 |      217 |    138    0   79 |        1.29% |      5625.361 USDT  (140.63%) |        3:53:00 |       447.988 USDT   (22.38%) | -5,625.36097 |
| *      |   15/2000 |      303 |    171    0  132 |        0.54% |      3271.247 USDT   (81.78%) |        4:02:00 |       963.469 USDT   (48.13%) | -3,271.24653 |
| *      |   16/2000 |      114 |     75    0   39 |        1.16% |      2642.874 USDT   (66.07%) |        4:16:00 |       502.506 USDT   (25.10%) | -2,642.87422 |
| *      |   17/2000 |      369 |    191    0  178 |        0.28% |      2058.733 USDT   (51.47%) |        3:03:00 |       717.322 USDT   (35.83%) | -2,058.73286 |
| *      |   18/2000 |      467 |    274    0  193 |       -0.22% |     -2070.783 USDT  (-51.77%) |        5:29:00 |      2482.252 USDT  (123.99%) |  2,070.78272 |
| * Best |   19/2000 |      144 |    100    0   44 |        2.34% |      6754.776 USDT  (168.87%) |        5:22:00 |       429.829 USDT   (21.47%) | -6,754.77634 |
